name,virus,protein,new_name,Length,GRAVY,Aliphatic Index,Instability Index,Stability,Molecular Weight,Aromaticity,Isoelectric Point,Charge at pH 7,protein_classification,Host_type,infection_type,Virus_Family
HIV2_vpr_step4_consensus,HIV2,vpr,HIV2_vpr_step4_consensus,105,-0.58,75.33,37.83,Stable,11833.33,0.07,6.07,-2.13,Non_surface,Human,Cronic,Retroviridae
HIV2_vpx_step4_consensus,HIV2,vpx,HIV2_vpx_step4_consensus,112,-0.67,54.82,39.1,Stable,12782.41,0.12,6.9,-0.16,Non_surface,Human,Cronic,Retroviridae
IAVH9N2_HA_step4_consensus,IAVH9N2,HA,IAVH9N2_HA_step4_consensus,560,-0.34,84.96,36.29,Stable,62603.25,0.09,6.8,-0.71,Surface,Avian,Acute,Orthomyxoviridae
IAVH9N2_HA_step5_consensus,IAVH9N2,HA,IAVH9N2_HA_step5_consensus,560,-0.34,84.43,36.12,Stable,62575.16,0.09,6.65,-1.54,Surface,Avian,Acute,Orthomyxoviridae
IAVH9N2_M1_step4_consensus,IAVH9N2,M1,IAVH9N2_M1_step4_consensus,252,-0.23,84.09,37.48,Stable,27777.87,0.05,9.28,5.94,Non_surface,Avian,Acute,Orthomyxoviridae
IAVH9N2_M1_step5_consensus,IAVH9N2,M1,IAVH9N2_M1_step5_consensus,252,-0.24,83.69,37.48,Stable,27807.9,0.05,9.28,5.94,Non_surface,Avian,Acute,Orthomyxoviridae
IAVH9N2_M2_step4_consensus,IAVH9N2,M2,IAVH9N2_M2_step4_consensus,97,-0.25,96.39,62.39,Unstable,11247.72,0.09,4.99,-5.32,Non_surface,Avian,Acute,Orthomyxoviridae
IAVH9N2_M2_step5_consensus,IAVH9N2,M2,IAVH9N2_M2_step5_consensus,97,-0.25,96.39,62.39,Unstable,11247.72,0.09,4.99,-5.32,Non_surface,Avian,Acute,Orthomyxoviridae
IAVH9N2_NA_step4_consensus,IAVH9N2,Neuraminiase,IAVH9N2_NA_step4_consensus,466,-0.3,74.85,31.66,Stable,51431.59,0.08,7.07,0.2,Surface,Avian,Acute,Orthomyxoviridae
IAVH9N2_NA_step5_consensus,IAVH9N2,Neuraminiase,IAVH9N2_NA_step5_consensus,469,-0.3,74.16,36.7,Stable,51764.87,0.08,7.42,1.2,Surface,Avian,Acute,Orthomyxoviridae
IAVH9N2_NP_step5_consensus,IAVH9N2,NP,IAVH9N2_NP_step5_consensus,498,-0.57,69.58,44.84,Unstable,56279.12,0.08,9.47,12.06,Non_surface,Avian,Acute,Orthomyxoviridae
IAVH9N2_NS1_step4_consensus,IAVH9N2,NS1,IAVH9N2_NS1_step4_consensus,217,-0.34,90.32,53.64,Unstable,24605.84,0.06,5.37,-5.2,Non_surface,Avian,Acute,Orthomyxoviridae
IAVH9N2_NS1_step5_consensus,IAVH9N2,NS1,IAVH9N2_NS1_step5_consensus,230,-0.36,89.04,62.35,Unstable,26083.59,0.06,5.29,-5.28,Non_surface,Avian,Acute,Orthomyxoviridae
IAVH9N2_NS2_step4_consensus,IAVH9N2,NS2,IAVH9N2_NS2_step4_consensus,121,-0.45,87.02,63.1,Unstable,14280.13,0.08,5.2,-4.29,Non_surface,Avian,Acute,Orthomyxoviridae
IAVH9N2_NS2_step5_consensus,IAVH9N2,NS2,IAVH9N2_NS2_step5_consensus,121,-0.41,88.6,62.48,Unstable,14338.28,0.08,5.2,-4.29,Non_surface,Avian,Acute,Orthomyxoviridae
IAVH9N2_PA_step4_consensus,IAVH9N2,PA,IAVH9N2_PA_step4_consensus,716,-0.49,78.06,51.29,Unstable,82662.58,0.09,5.43,-18.35,Non_surface,Avian,Acute,Orthomyxoviridae
IAVH9N2_PA_step5_consensus,IAVH9N2,PA,IAVH9N2_PA_step5_consensus,716,-0.47,78.06,50.34,Unstable,82521.45,0.09,5.39,-19.34,Non_surface,Avian,Acute,Orthomyxoviridae
IAVH9N2_PB1_step4_consensus,IAVH9N2,PB1,IAVH9N2_PB1_step4_consensus,757,-0.51,72.02,40.2,Unstable,86429.14,0.09,9.22,18.37,Non_surface,Avian,Acute,Orthomyxoviridae
IAVH9N2_PB1_step5_consensus,IAVH9N2,PB1,IAVH9N2_PB1_step5_consensus,757,-0.5,72.4,41.07,Unstable,86452.2,0.09,9.29,20.37,Non_surface,Avian,Acute,Orthomyxoviridae
IAVH9N2_PB2_step4_consensus,IAVH9N2,PB2,IAVH9N2_PB2_step4_consensus,759,-0.32,86.9,46.7,Unstable,85877.22,0.07,9.44,18.45,Non_surface,Avian,Acute,Orthomyxoviridae
IAVH9N2_PB2_step5_consensus,IAVH9N2,PB2,IAVH9N2_PB2_step5_consensus,759,-0.33,86.52,46.38,Unstable,85907.2,0.07,9.45,18.45,Non_surface,Avian,Acute,Orthomyxoviridae
IBV_HA_step4.cds_consensus,IBV,HA,IBV_HA_step4.cds_consensus,584,-0.17,87.84,30.39,Stable,63122.47,0.06,7.83,2.88,Surface,Human,Acute,Orthomyxoviridae
IBV_HA_step5.cds_consensus,IBV,HA,IBV_HA_step5.cds_consensus,584,-0.17,87.67,28.22,Stable,63115.46,0.06,8.22,4.7,Surface,Human,Acute,Orthomyxoviridae
IBV_M1_step4.cds_consensus,IBV,M1,IBV_M1_step4.cds_consensus,248,-0.29,81.49,39.95,Stable,27386.57,0.06,9.09,7.99,Non_surface,Human,Acute,Orthomyxoviridae
IBV_M1_step5.cds_consensus,IBV,M1,IBV_M1_step5.cds_consensus,248,-0.29,81.49,42.26,Unstable,27414.59,0.06,9.1,7.99,Non_surface,Human,Acute,Orthomyxoviridae
IBV_M2_step4.cds_consensus,IBV,M2,IBV_M2_step4.cds_consensus,109,-0.04,114.5,45.77,Unstable,12585.63,0.05,5.71,-4.04,Non_surface,Human,Acute,Orthomyxoviridae
IBV_M2_step5.cds_consensus,IBV,M2,IBV_M2_step5.cds_consensus,109,-0.05,112.66,45.77,Unstable,12557.57,0.05,5.71,-4.04,Non_surface,Human,Acute,Orthomyxoviridae
IBV_NA_step4.cds_consensus,IBV,Neuraminiase,IBV_NA_step4.cds_consensus,466,-0.22,74.55,40.63,Unstable,51065.74,0.09,6.82,-0.67,Surface,Human,Acute,Orthomyxoviridae
IBV_NA_step5.cds_consensus,IBV,Neuraminiase,IBV_NA_step5.cds_consensus,466,-0.23,75.17,42.85,Unstable,51162.85,0.09,6.43,-2.66,Surface,Human,Acute,Orthomyxoviridae
IBV_NP_step4.cds_consensus,IBV,NP,IBV_NP_step4.cds_consensus,560,-0.37,76.84,44.96,Unstable,61592.3,0.06,9.39,16.94,Non_surface,Human,Acute,Orthomyxoviridae
IBV_NP_step5.cds_consensus,IBV,NP,IBV_NP_step5.cds_consensus,560,-0.37,77.18,44.81,Unstable,61620.35,0.06,9.39,16.94,Non_surface,Human,Acute,Orthomyxoviridae
IBV_NS1_step4.cds_consensus,IBV,NS1,IBV_NS1_step4.cds_consensus,281,-0.79,73.56,47.31,Unstable,31947.67,0.06,6.14,-2.95,Non_surface,Human,Acute,Orthomyxoviridae
IBV_NS1_step5.cds_consensus,IBV,NS1,IBV_NS1_step5.cds_consensus,281,-0.79,73.56,46.53,Unstable,31944.67,0.06,5.96,-3.95,Non_surface,Human,Acute,Orthomyxoviridae
IBV_NS2_step4.cds_consensus,IBV,NS2,IBV_NS2_step4.cds_consensus,122,-0.25,98.2,55.04,Unstable,14278.38,0.07,6.83,-0.23,Non_surface,Human,Acute,Orthomyxoviridae
IBV_NS2_step5.cds_consensus,IBV,NS2,IBV_NS2_step5.cds_consensus,122,-0.21,101.39,55.35,Unstable,14291.42,0.07,6.28,-1.23,Non_surface,Human,Acute,Orthomyxoviridae
IBV_PA_step4.cds_consensus,IBV,PA,IBV_PA_step4.cds_consensus,726,-0.41,81.21,38.88,Stable,83059.18,0.1,5.44,-13.77,Non_surface,Human,Acute,Orthomyxoviridae
IBV_PA_step5.cds_consensus,IBV,PA,IBV_PA_step5.cds_consensus,726,-0.41,80.81,39.35,Stable,83073.28,0.1,5.55,-11.77,Non_surface,Human,Acute,Orthomyxoviridae
IBV_PB1_step4.cds_consensus,IBV,PB1,IBV_PB1_step4.cds_consensus,752,-0.34,77.47,31.59,Stable,84294.34,0.09,8.78,12.46,Non_surface,Human,Acute,Orthomyxoviridae
IBV_PB1_step5.cds_consensus,IBV,PB1,IBV_PB1_step5.cds_consensus,752,-0.34,77.34,32.12,Stable,84336.34,0.09,8.78,12.46,Non_surface,Human,Acute,Orthomyxoviridae
IBV_PB2_step4.cds_consensus,IBV,PB2,IBV_PB2_step4.cds_consensus,770,-0.35,88.39,39.43,Stable,87906.19,0.08,9.27,20.96,Non_surface,Human,Acute,Orthomyxoviridae
IBV_PB2_step5.cds_consensus,IBV,PB2,IBV_PB2_step5.cds_consensus,770,-0.35,88.39,39.49,Stable,87922.29,0.08,9.26,20.96,Non_surface,Human,Acute,Orthomyxoviridae
lyssavirus_glycoprotein_step5_consensus,lyssavirus,glycoprotein,lyssavirus_glycoprotein_step5_consensus,524,-0.18,83.63,38.89,Stable,58505.73,0.09,8.04,3.96,Surface,Mammal,Acute,Rhabdoviridae
lyssavirus_matrix_protein_step5_consensus,lyssavirus,matrix protein,lyssavirus_matrix_protein_step5_consensus,202,-0.49,83.91,58.01,Unstable,23348.39,0.08,5.51,-4.25,Non_surface,Mammal,Acute,Rhabdoviridae
lyssavirus_nucleoprotein_step5_consensus,lyssavirus,nucleoprotein,lyssavirus_nucleoprotein_step5_consensus,450,-0.27,78.02,32.62,Stable,50692.91,0.11,6.04,-6.37,Non_surface,Mammal,Acute,Rhabdoviridae
lyssavirus_phosphoprotein_step5_consensus,lyssavirus,phosphoprotein,lyssavirus_phosphoprotein_step5_consensus,297,-0.64,76.53,45.48,Unstable,33342.04,0.06,4.99,-12.1,Non_surface,Mammal,Acute,Rhabdoviridae
lyssavirus_polymerase_step5_consensus,lyssavirus,polymerase,lyssavirus_polymerase_step5_consensus,2127,-0.19,94.39,44.83,Unstable,242803.07,0.1,8.57,19.45,Non_surface,Mammal,Acute,Rhabdoviridae
Mastro1_capsid_step5_consensus,Mastro1,capsid,Mastro1_capsid_step5_consensus,787,-0.49,70.37,36.17,Stable,86013.34,0.08,9.05,11.65,Surface,Mammal,Acute,Picornaviridae
Mastro1_RdRp_step5_consensus,Mastro1,RdRp,Mastro1_RdRp_step5_consensus,515,-0.58,71.96,36.58,Stable,60150.8,0.13,6.38,-3.86,Non_surface,Mammal,Acute,Picornaviridae
Mastro1_serine-protease_step5_consensus,Mastro1,serine-protease,Mastro1_serine-protease_step5_consensus,902,-0.16,89.81,35.79,Stable,101396.61,0.09,6.33,-5,Non_surface,Mammal,Acute,Picornaviridae
measles_C_protein_step5_consensus,measles,C protein,measles_C_protein_step5_consensus,186,-0.46,82.42,57.49,Unstable,21134.23,0.06,10.45,10.95,Non_surface,Human,Acute,Paramyxoviridae
measles_fusion_protein_step5_consensus,measles,fusion protein,measles_fusion_protein_step5_consensus,550,0.15,109.75,43.06,Unstable,59531.44,0.05,8.78,9.09,Non_surface,Human,Acute,Paramyxoviridae
measles_hemagglutinin_protein_step5_consensus,measles,hemagglutinin protein,measles_hemagglutinin_protein_step5_consensus,617,-0.11,93,29.11,Stable,69121.65,0.09,6.58,-2.26,Non_surface,Human,Acute,Paramyxoviridae
measles_large_polymerase_protein_step5_consensus,measles,large polymerase protein,measles_large_polymerase_protein_step5_consensus,2183,-0.14,96.71,37.6,Stable,247658.49,0.09,8.36,18.62,Non_surface,Human,Acute,Paramyxoviridae
measles_matrix_protein_step5_consensus,measles,matrix protein,measles_matrix_protein_step5_consensus,335,-0.08,98.3,45.44,Unstable,37711.47,0.09,9.07,6.75,Non_surface,Human,Acute,Paramyxoviridae
measles_nucleocapsid_protein_step5_consensus,measles,nucleocapsid protein,measles_nucleocapsid_protein_step5_consensus,525,-0.32,89.58,53.45,Unstable,58120.95,0.06,5.11,-14.87,Non_surface,Human,Acute,Paramyxoviridae
measles_phosphoprotein_step5_consensus,measles,phosphoprotein,measles_phosphoprotein_step5_consensus,507,-0.51,80.12,40.81,Unstable,53892.71,0.03,5.07,-16.83,Non_surface,Human,Acute,Paramyxoviridae
measles_V_protein_step5_consensus,measles,V protein,measles_V_protein_step5_consensus,299,-0.59,65.38,46.74,Unstable,30878.36,0.03,4.53,-21.13,Non_surface,Human,Acute,Paramyxoviridae
mumps_fusion_protein_step5_consensus,mumps,fusion protein,mumps_fusion_protein_step5_consensus,538,0.29,115.15,46.78,Unstable,58722.26,0.06,8.13,3.09,Surface,Human,Acute,Paramyxoviridae
mumps_hemagglutinin_step5_consensus,mumps,hemagglutinin,mumps_hemagglutinin_step5_consensus,582,0.03,87.41,32.84,Stable,64023.32,0.1,7.42,0.97,Surface,Human,Acute,Paramyxoviridae
mumps_large_polymerase_protein_step5_consensus,mumps,large polymerase protein,mumps_large_polymerase_protein_step5_consensus,2261,-0.1,102.38,43.9,Unstable,256759.88,0.09,6.18,-18.3,Non_surface,Human,Acute,Paramyxoviridae
mumps_matrix_protein_step5_consensus,mumps,matrix protein,mumps_matrix_protein_step5_consensus,375,-0.19,86.37,44.51,Unstable,41582.66,0.07,9.52,18.2,Non_surface,Human,Acute,Paramyxoviridae
mumps_nucleocapsid_protein_step5_consensus,mumps,nucleocapsid protein,mumps_nucleocapsid_protein_step5_consensus,549,-0.43,80.2,44.67,Unstable,61370.4,0.09,5.15,-13.86,Non_surface,Human,Acute,Paramyxoviridae
mumps_phosphoprotein_step5_consensus,mumps,phosphoprotein,mumps_phosphoprotein_step5_consensus,390,-0.49,71,35.65,Stable,42422.9,0.05,8.98,7.99,Non_surface,Human,Acute,Paramyxoviridae
mumps_small_hydrophobic_protein_step5_consensus,mumps,small hydrophobic protein,mumps_small_hydrophobic_protein_step5_consensus,57,0.94,145.44,47.85,Unstable,6826.14,0.19,9.3,1.76,Non_surface,Human,Acute,Paramyxoviridae
mumps_V_protein_short_step5_consensus,mumps,V protein short,mumps_V_protein_short_step5_consensus,224,-0.55,60.94,30.58,Stable,24176.95,0.06,8.8,4.8,Non_surface,Human,Acute,Paramyxoviridae
orthobornavirus_glycoprotein_step5_consensus,orthobornavirus,glycoprotein,orthobornavirus_glycoprotein_step5_consensus,503,-0.16,81.39,51.92,Unstable,56607.69,0.12,8.33,5.41,Surface,Mammal,Acute,Bornaviridae
orthobornavirus_matrix_protein_step5_consensus,orthobornavirus,matrix protein,orthobornavirus_matrix_protein_step5_consensus,142,-0.15,100.14,42.11,Unstable,16257.65,0.11,9.15,2.77,Non_surface,Mammal,Acute,Bornaviridae
orthobornavirus_nucleoprotein_step5_consensus,orthobornavirus,nucleoprotein,orthobornavirus_nucleoprotein_step5_consensus,370,-0.2,84.68,36.72,Stable,40952.58,0.08,6.57,-1.61,Non_surface,Mammal,Acute,Bornaviridae
orthobornavirus_phosphoprotein_step5_consensus,orthobornavirus,phosphoprotein,orthobornavirus_phosphoprotein_step5_consensus,201,-0.57,84.98,48.61,Unstable,22462.35,0.02,4.94,-8.28,Non_surface,Mammal,Acute,Bornaviridae
orthobornavirus_RNA_dependent_RNA_polymerase_step5_consensus,orthobornavirus,RNA dependent RNA polymerase,orthobornavirus_RNA_dependent_RNA_polymerase_step5_consensus,1711,0.05,100.98,41.87,Unstable,191671.91,0.09,8.04,9.13,Non_surface,Mammal,Acute,Bornaviridae
orthobornavirus_X_protein_step5_consensus,orthobornavirus,X protein,orthobornavirus_X_protein_step5_consensus,87,-0.98,65.06,92.39,Unstable,9443.45,0,7.96,0.61,Non_surface,Mammal,Acute,Bornaviridae
polio_protein_1b_step5_consensus,polio,protein 1b,polio_protein_1b_step5_consensus,753,-0.29,83.52,41.44,Unstable,84281.61,0.09,7.07,0.32,Non_surface,Human,Acute,Picornaviridae
polio_protein_2_step5_consensus,polio,protein 2,polio_protein_2_step5_consensus,644,-0.29,82.22,40.82,Unstable,72164.72,0.1,6.42,-3.75,Non_surface,Human,Acute,Picornaviridae
polio_protein_3b_step5_consensus,polio,protein 3b,polio_protein_3b_step5_consensus,575,-0.24,84.33,42,Unstable,64626.42,0.09,7.56,1.87,Non_surface,Human,Acute,Picornaviridae
polio_protein_4b_step5_consensus,polio,protein 4b,polio_protein_4b_step5_consensus,461,-0.34,82.08,41.8,Unstable,52571.64,0.11,6.11,-5.18,Non_surface,Human,Acute,Picornaviridae
polio_protein_5b_step5_consensus,polio,protein 5b,polio_protein_5b_step5_consensus,426,-0.21,89.53,39.91,Stable,48048.05,0.08,8.61,6.39,Non_surface,Human,Acute,Picornaviridae
polio_protein_X_step5_consensus,polio,protein X,polio_protein_X_step5_consensus,329,-0.36,80.36,41.65,Unstable,37358.67,0.08,8.72,6.4,Non_surface,Human,Acute,Picornaviridae
polio_VP1_step5_consensus,polio,VP1,polio_VP1_step5_consensus,302,-0.32,73.28,32.05,Stable,33462.28,0.11,8.39,2.37,Surface,Human,Acute,Picornaviridae
polio_VP2_step5_consensus,polio,VP2,polio_VP2_step5_consensus,272,-0.24,74.96,49.04,Unstable,30052.49,0.11,5.64,-5.07,Surface,Human,Acute,Picornaviridae
polio_VP3_step5_consensus,polio,VP3,polio_VP3_step5_consensus,238,-0.11,81.93,40.19,Unstable,26523.24,0.09,5.18,-6.83,Surface,Human,Acute,Picornaviridae
polio_VP4_step5_consensus,polio,VP4,polio_VP4_step5_consensus,69,-0.72,56.67,27.97,Stable,7516.18,0.09,8.03,0.59,Surface,Human,Acute,Picornaviridae
Potato_12_kD_membrane-bound_step5_consensus,Potato,12 kD membrane-bound,Potato_12_kD_membrane-bound_step5_consensus,115,0.02,100.96,38.47,Stable,12337.93,0.07,9.76,6.17,Non_surface,Plant,Acute,Secoviridae
Potato_8_kD_membrane-bound_step5_consensus,Potato,8 kD membrane-bound,Potato_8_kD_membrane-bound_step5_consensus,70,0.88,149,13.13,Stable,7594.99,0.03,5.64,-1.42,Non_surface,Plant,Acute,Secoviridae
Potato_capsid_protein_step5_consensus,Potato,capsid protein,Potato_capsid_protein_step5_consensus,237,-0.13,66.12,31.01,Stable,25081.07,0.08,6.73,-0.33,Surface,Plant,Acute,Secoviridae
Potato_NTP-binding_helicase_step5_consensus,Potato,NTP-binding helicase,Potato_NTP-binding_helicase_step5_consensus,226,-0.06,93.19,26.97,Stable,24655.84,0.08,6.31,-1.96,Non_surface,Plant,Acute,Secoviridae
Potato_RNA-replicating_protein_step5_consensus,Potato,RNA-replicating protein,Potato_RNA-replicating_protein_step5_consensus,1456,-0.43,79.86,39.3,Stable,165513,0.09,6.35,-10.82,Non_surface,Plant,Acute,Secoviridae
PotatoY_6K1_step4_consensus,PotatoY,6K1,PotatoY_6K1_step4_consensus,51,0.14,97.25,28.15,Stable,5735.61,0.08,6.67,-0.37,Non_surface,Plant,Acute,Potyviridae
PotatoY_6K1_step5_consensus,PotatoY,6K1,PotatoY_6K1_step5_consensus,51,0.14,97.25,28.15,Stable,5735.61,0.08,6.67,-0.37,Non_surface,Plant,Acute,Potyviridae
PotatoY_6K2_step4_consensus,PotatoY,6K2,PotatoY_6K2_step4_consensus,52,0.41,118.27,4.86,Stable,5486.36,0.08,9.61,2.88,Non_surface,Plant,Acute,Potyviridae
PotatoY_6K2_step5_consensus,PotatoY,6K2,PotatoY_6K2_step5_consensus,52,0.47,123.85,7.75,Stable,5528.44,0.08,9.61,2.88,Non_surface,Plant,Acute,Potyviridae
PotatoY_CI_step4_consensus,PotatoY,CI,PotatoY_CI_step4_consensus,634,-0.09,93.26,36.8,Stable,71393.23,0.09,7.28,1.11,Non_surface,Plant,Acute,Potyviridae
PotatoY_CI_step5_consensus,PotatoY,CI,PotatoY_CI_step5_consensus,634,-0.08,93.56,36.8,Stable,71421.28,0.09,7.28,1.11,Non_surface,Plant,Acute,Potyviridae
PotatoY_coat_step4_consensus,PotatoY,coat,PotatoY_coat_step4_consensus,267,-0.61,69.06,41.08,Unstable,29805.46,0.06,6.36,-1.65,Surface,Plant,Acute,Potyviridae
PotatoY_coat_step5_consensus,PotatoY,coat,PotatoY_coat_step5_consensus,267,-0.61,69.06,41.08,Unstable,29834.5,0.06,6.69,-0.65,Surface,Plant,Acute,Potyviridae
PotatoY_HC-Pro_step4_consensus,PotatoY,HC-Pro,PotatoY_HC-Pro_step4_consensus,456,-0.41,79.58,35.32,Stable,51865.69,0.1,8.25,4.58,Non_surface,Plant,Acute,Potyviridae
PotatoY_HC-Pro_step5_consensus,PotatoY,HC-Pro,PotatoY_HC-Pro_step5_consensus,456,-0.44,78.51,29.75,Stable,51989.75,0.11,8.08,3.67,Non_surface,Plant,Acute,Potyviridae
PotatoY_NIa-Pro_step4_consensus,PotatoY,NIa-Pro,PotatoY_NIa-Pro_step4_consensus,244,-0.31,80.61,25.5,Stable,27798.37,0.11,7.87,1.65,Non_surface,Plant,Acute,Potyviridae
PotatoY_NIa-Pro_step5_consensus,PotatoY,NIa-Pro,PotatoY_NIa-Pro_step5_consensus,244,-0.31,80.61,25.5,Stable,27798.37,0.11,7.87,1.65,Non_surface,Plant,Acute,Potyviridae
PotatoY_NIa-VPg_step4_consensus,PotatoY,NIa-VPg,PotatoY_NIa-VPg_step4_consensus,188,-0.87,65.37,37.11,Stable,21707.25,0.09,6.52,-0.85,Non_surface,Plant,Acute,Potyviridae
PotatoY_NIa-VPg_step5_consensus,PotatoY,NIa-VPg,PotatoY_NIa-VPg_step5_consensus,188,-0.88,63.3,37.11,Stable,21741.26,0.1,6.52,-0.85,Non_surface,Plant,Acute,Potyviridae
PotatoY_NIb_step4_consensus,PotatoY,NIb,PotatoY_NIb_step4_consensus,521,-0.21,87.06,45.94,Unstable,59893.94,0.11,5.15,-19.19,Non_surface,Plant,Acute,Potyviridae
PotatoY_NIb_step5_consensus,PotatoY,NIb,PotatoY_NIb_step5_consensus,521,-0.2,87.06,44.43,Unstable,59907.95,0.12,5.15,-19.18,Non_surface,Plant,Acute,Potyviridae
PotatoY_P1_step4_consensus,PotatoY,P1,PotatoY_P1_step4_consensus,284,-0.49,76.48,33.26,Stable,32183.9,0.07,9.99,23.43,Non_surface,Plant,Acute,Potyviridae
PotatoY_P1_step5_consensus,PotatoY,P1,PotatoY_P1_step5_consensus,284,-0.46,78.94,36.7,Stable,32144.92,0.07,10.25,26.34,Non_surface,Plant,Acute,Potyviridae
PotatoY_P3_step4_consensus,PotatoY,P3,PotatoY_P3_step4_consensus,365,0.07,106.36,43.89,Unstable,41617.05,0.1,9,6.92,Non_surface,Plant,Acute,Potyviridae
PotatoY_P3_step5_consensus,PotatoY,P3,PotatoY_P3_step5_consensus,365,0.06,105.56,43.57,Unstable,41639.08,0.1,9,6.92,Non_surface,Plant,Acute,Potyviridae
RhinoA_1A_step4_consensus,RhinoA,1A,RhinoA_1A_step4_consensus,69,-0.61,60.72,27.29,Stable,7440.06,0.09,6.52,-0.41,Surface,Human,Acute,Picornaviridae
RhinoA_1A_step5_consensus,RhinoA,1A,RhinoA_1A_step5_consensus,69,-0.61,60.72,27.29,Stable,7440.06,0.09,6.52,-0.41,Surface,Human,Acute,Picornaviridae
RhinoA_1B_step4_consensus,RhinoA,1B,RhinoA_1B_step4_consensus,261,-0.31,74.75,30.51,Stable,28714.9,0.1,6.03,-3.86,Non_surface,Human,Acute,Picornaviridae
RhinoA_1B_step5_consensus,RhinoA,1B,RhinoA_1B_step5_consensus,261,-0.31,74.75,30.51,Stable,28714.9,0.1,6.03,-3.86,Non_surface,Human,Acute,Picornaviridae
RhinoA_1C_step4_consensus,RhinoA,1C,RhinoA_1C_step4_consensus,238,0.03,81.51,25.55,Stable,26488.35,0.11,7.73,1.14,Non_surface,Human,Acute,Picornaviridae
RhinoA_1C_step5_consensus,RhinoA,1C,RhinoA_1C_step5_consensus,238,0.03,81.51,27.19,Stable,26425.26,0.1,7.74,1.14,Non_surface,Human,Acute,Picornaviridae
RhinoA_1D_step4_consensus,RhinoA,1D,RhinoA_1D_step4_consensus,285,-0.6,69.05,43.56,Unstable,32646.64,0.11,8.68,4.62,Non_surface,Human,Acute,Picornaviridae
RhinoA_1D_step5_consensus,RhinoA,1D,RhinoA_1D_step5_consensus,285,-0.59,69.72,43.75,Unstable,32661.61,0.11,8.23,2.62,Non_surface,Human,Acute,Picornaviridae
